etiket,metin,label,metin_tr,metin_islenmis
ham,Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt,0,"Hey, gerçekten çok geç kalacağım... Önce derse gitmek ister misin? Size katılacağım. Sadece tp mrt'ye ulaşıyorum",hey gerçekten geç kalacağım önce derse gitmek ister misin size katılacağım sadece tp mrt ye ulaşıyorum
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k",1,"SICAK CANLI FANTAZİLER hemen arayın 08707509020 Dakikada sadece 20p NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k",sicak canli fantazi ler hemen arayın SAYI dakikada sadece SAYI p ntt ltd po box SAYI croydon cr SAYI SAYI wb SAYI k
ham,Bbq this sat at mine from 6ish. Ur welcome 2 come,0,Barbekü bu saat 6'dan itibaren benim yanımdaydı. Hoş geldin 2 gel,barbekü saat SAYI dan itibaren benim yanımdaydı hoş geldin SAYI gel
ham,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough …",0,"Bilmiyorum, aynı şey sıklıkla yanlış oluyor, yeterince iyi olmadığı için paniğe kapılmaya başlıyor…",bilmiyorum aynı şey sıklıkla yanlış oluyor yeterince iyi olmadığı paniğe kapılmaya başlıyor
ham,Alright. I'm out--have a good night!,0,"Peki. Ben çıkıyorum, iyi geceler!",peki çıkıyorum iyi geceler
ham,Did you try making another butt.,0,Başka bir kıç yapmayı denedin mi?,başka kıç yapmayı denedin
ham,Hope you are feeling great. Pls fill me in. Abiola,0,Umarım harika hissediyorsunuzdur. Lütfen beni bilgilendirin. Abiola,umarım harika hissediyorsunuzdur lütfen beni bilgilendirin abiola
ham,I though we shd go out n have some fun so bar in town or something – sound ok?,0,"Dışarı çıkıp biraz eğleniriz, yani şehirde bir bara falan gideriz diye düşündüm, tamam mı?",dışarı çıkıp biraz eğleniriz yani şehirde bara falan gideriz düşündüm tamam
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",0,"1) Mesaj yazmaya gidin 2) Sözlük modunu açın 3) Ekranı elinizle kapatın, 4) &lt;#&gt; . 5) Elinizi yavaşça çekin.. İlginç.. :)",SAYI mesaj yazmaya gidin SAYI sözlük modunu açın SAYI ekranı elinizle kapatın SAYI lt gt SAYI elinizi yavaşça çekin i lginç
spam,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",1,"Ayılar Pic Nick ve Tom, Pete ve ... Dick. Aslında, tüm türler, fotoğraf yükleme çağrısıyla 08718730666 (10p/dak) numaralı telefonu arayarak eşcinsel sohbeti deneyebilir. 2 durak kısa mesaj 08712460324'ü arayın",ayılar pic nick tom pete dick aslında türler fotoğraf yükleme çağrısıyla SAYI SAYI p dak numaralı telefonu arayarak eşcinsel sohbeti deneyebilir SAYI durak kısa mesaj SAYI ü arayın
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION",1,"2004'ten 500 Yeni Cep Telefonu, MUTLAKA GİTMELİ! Mesaj: NOKIA'dan No: 89545'e gönderin ve sizinkini bugün alın! SADECE 1 £'dan başlayan fiyatlarla www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION",SAYI ten SAYI yeni cep telefonu mutlaka gi tmeli mesaj nokia dan no SAYI e gönderin sizinkini bugün alın sadece SAYI dan başlayan fiyatlarla URL SAYI optout SAYI SAYI gbp mtmsg SAYI txtauction
ham,We're finally ready fyi,0,Sonunda hazırız bilginize,sonunda hazırız bilginize
ham,Auntie huai juan never pick up her phone,0,Huai Juan teyze telefonunu asla açmıyor,huai juan teyze telefonunu asla açmıyor
spam,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,1,En yeni Orange Bluetooth cep telefonlarında Double Mins & Double Txt & 1/2 fiyat Linerental. En son teklifler için MobileUpd8'i arayın. 08000839402 veya call2optout/LF56,yeni orange bluetooth cep telefonlarında double mins double txt SAYI SAYI fiyat linerental son teklifler mobileupd SAYI i arayın SAYI call SAYI optout lf SAYI
ham,"Ya tel, wats ur problem..",0,"Ya tel, senin sorunun ne?",tel senin sorunun
spam,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,1,Her hafta mafyanızın 1 numaralı Nokia Tone 4'ü! NOK'u 87021'e göndermeniz yeterli. 1. Ton ÜCRETSİZ! o halde şimdi txtin'i alın ve arkadaşlarınıza söyleyin. 150p/ton. 16 yanıt HL 4bilgi,hafta mafyanızın SAYI numaralı nokia tone SAYI ü nok u SAYI e göndermeniz yeterli SAYI ton ücretsi z halde şimdi txtin i alın arkadaşlarınıza söyleyin SAYI p ton SAYI yanıt hl SAYI bilgi
ham,i dnt wnt to tlk wid u,0,seninle konuşmak istemiyorum,seninle konuşmak istemiyorum
ham,"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. ""paths are made by walking.. not by waiting.."" Goodnight!",0,"Günlerimizi ideal yolun önümüze çıkmasını bekleyerek geçiriyoruz.. Ama unuttuğumuz şey şu.. ""Yollar yürüyerek yapılır.. bekleyerek değil.."" İyi geceler!",günlerimizi ideal yolun önümüze çıkmasını bekleyerek geçiriyoruz unuttuğumuz şey şu yollar yürüyerek yapılır bekleyerek değil i yi geceler
ham,Its ok my arm is feeling weak cuz i got a shot so we can go another time,0,"Sorun değil kolum zayıf çünkü iğne vuruldum, böylece başka zaman gidebiliriz",sorun değil kolum zayıf çünkü iğne vuruldum böylece başka zaman gidebiliriz
ham,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..,0,Lütfen cumartesi arifesinde Chennai'den Thirunelvali'ye ve pazar arifesinde tekrar Tirunelvali'den Chennai'ye bilet rezervasyonu yapın... Zaten nette görüyorum.. Bilet yok.. Takım aracılığıyla bilet rezervasyonu yapmak istiyorum..,lütfen cumartesi arifesinde chennai den thirunelvali ye pazar arifesinde tekrar tirunelvali den chennai ye bilet rezervasyonu yapın zaten nette görüyorum bilet takım aracılığıyla bilet rezervasyonu yapmak istiyorum
ham,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@",0,"Fırtınalı mesaj: Telefonunuzu kaldırdığınızda ""Merhaba"" diyorsunuz. MERHABA'nın gerçek anlamının ne olduğunu biliyor musunuz? . . . Bir kız ismi..! . . . Evet.. Peki o kızın kim olduğunu biliyor musun? ""Margaret Merhaba"" Telefonu icat eden Grahmbell'in kız arkadaşıdır... . . . . Ahlaki: Bir kişinin adını öğrenebilirsin, ama onun kız arkadaşını değil... İyi geceler. . .@",fırtınalı mesaj telefonunuzu kaldırdığınızda merhaba diyorsunuz merhaba nın gerçek anlamının olduğunu biliyor musunuz kız ismi evet peki kızın kim olduğunu biliyor musun margaret merhaba telefonu icat eden grahmbell in kız arkadaşıdır ahlaki kişinin adını öğrenebilirsin onun kız arkadaşını değil i yi geceler
ham,That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?,0,Bu iyi. Bir şey sormak için uğradım ve senin de orada olduğunu söyledi. Bu kız geldiğinde buralarda mısın?,iyi şey sormak uğradım senin orada olduğunu söyledi kız geldiğinde buralarda mısın
ham,All e best 4 ur exam later.,0,Sınavınızın en iyisi daha sonra.,sınavınızın iyisi sonra
ham,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.,0,Umarım başın çok ağrımaz! Bir ütü yığınının arasından yolumu zorluyorum! Bu gece bir çingeneyle birlikte kalmak istersen gelebilirsin.,umarım başın ağrımaz ütü yığınının arasından yolumu zorluyorum gece çingeneyle birlikte kalmak istersen gelebilirsin
ham,Oh k.i think most of wi and nz players unsold.,0,Ah sanırım wi ve nz oyuncularının çoğu satılmadı.,ah sanırım wi nz oyuncularının çoğu satılmadı
ham,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.",0,"Haha... Kilo vermek o kadar hızlı oldu ki, ayda 4 tane gitsek etkisi olur... Vay be, sonra tekrar kilo almaya gidiyoruz.",haha kilo vermek hızlı oldu ayda SAYI tane gitsek etkisi olur vay be sonra tekrar kilo almaya gidiyoruz
ham,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy",0,Acaba internete nasıl girdin aşkım? İnternet kafeye gittin mi? Telefonunuzu şarj ettiniz mi? Arkadaş ağında mıydın? seni düşünüyorum oğlum,acaba internete nasıl girdin aşkım i nternet kafeye gittin telefonunuzu şarj ettiniz arkadaş ağında mıydın seni düşünüyorum oğlum
ham,"Haha just kidding, papa needs drugs",0,"Haha şaka yapıyorum, babamın uyuşturucuya ihtiyacı var",haha şaka yapıyorum babamın uyuşturucuya ihtiyacı
ham,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...",0,"Neyse... Yapabilirim... Evet, 4 derse gitmek istiyorum... Haha, bir süre daha gidebilirim...",neyse yapabilirim evet SAYI derse gitmek istiyorum haha süre gidebilirim
ham,Oh ok..,0,Ah tamam..,ah tamam
ham,R we still meeting 4 dinner tonight?,0,Bu gece hâlâ 4 akşam yemeğinde buluşacak mıyız?,gece hâlâ SAYI akşam yemeğinde buluşacak mıyız
ham,Thats cool! I am a gentleman and will treat you with dignity and respect.,0,Çok havalı! Ben bir beyefendiyim ve size onur ve saygıyla davranacağım.,havalı beyefendiyim size onur saygıyla davranacağım
ham,Shall i start from hear.,0,Duymaktan başlayayım mı?,duymaktan başlayayım
ham,Then we wait 4 u lor... No need 2 feel bad lar...,0,Sonra 4 saat bekleyeceğiz lor... 2'ye gerek yok kötü hissetmeye...,sonra SAYI saat bekleyeceğiz lor SAYI ye gerek kötü hissetmeye
ham,No did you check? I got his detailed message now,0,Hayır kontrol ettin mi? Detaylı mesajını şimdi aldım,hayır kontrol ettin detaylı mesajını şimdi aldım
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,0,Sinco'yu Alacaklı olarak kaydettiniz. icicibank.com'da oturum açın ve URN &lt;#&gt;  onaylamak için. Dolandırıcılıklara karşı dikkatli olun. URN'yi kimseyle paylaşmayın veya ifşa etmeyin.,sinco yu alacaklı kaydettiniz icicibank com oturum açın urn lt gt onaylamak dolandırıcılıklara karşı dikkatli olun urn yi kimseyle paylaşmayın ifşa etmeyin
ham,"No, I decided that only people who care about stuff vote and caring about stuff is for losers",0,"Hayır, yalnızca eşyalara önem verenlerin oy vereceğine ve eşyalara önem verenlerin kaybedenler için olduğuna karar verdim",hayır yalnızca eşyalara önem verenlerin oy vereceğine eşyalara önem verenlerin kaybedenler olduğuna karar verdim
ham,Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...,0,Kaiez... Dersinizin tadını çıkarın... Tanrım... İkinci seçenek kulağa beta gibi geliyor... Size mesaj atacağım...,kaiez dersinizin tadını çıkarın tanrım i kinci seçenek kulağa beta geliyor size mesaj atacağım
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,0,Sinco'yu Alacaklı olarak kaydettiniz. icicibank.com'da oturum açın ve URN &lt;#&gt;  onaylamak için. Dolandırıcılıklara karşı dikkatli olun. URN'yi kimseyle paylaşmayın veya ifşa etmeyin.,sinco yu alacaklı kaydettiniz icicibank com oturum açın urn lt gt onaylamak dolandırıcılıklara karşı dikkatli olun urn yi kimseyle paylaşmayın ifşa etmeyin
ham,cool. We will have fun practicing making babies!,0,Serin. Bebek yapma pratiği yaparken çok eğleneceğiz!,serin bebek yapma pratiği yaparken eğleneceğiz
ham,Actually getting ready to leave the house.,0,Aslında evden çıkmaya hazırlanıyorum.,aslında evden çıkmaya hazırlanıyorum
ham,K..k..any special today?,0,K..k..bugün özel bir şey var mı?,k k bugün özel şey
spam,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",1,"O2 KULLANICILARI İÇİN ACİL, ÖNEMLİ BİLGİLER. BUGÜN SİZİN ŞANSLI GÜNÜNÜZ! 2 NEDEN HTTP://WWW.URAWINNER.COM ÜZERİNDE OTURUM AÇTIĞINIZI ÖĞRENİN SİZİ BEKLİYOR HARİKA BİR SÜRPRİZ VAR",SAYI kullanicilari i çi n aci l önemli bi lgi ler bugün si zi n şansli gününüz SAYI neden URL üzeri nde oturum açtiğinizi öğreni n si zi bekli yor hari ka bi r sürpri z
ham,Then we gotta do it after that,0,O zaman bunu daha sonra yapmalıyız,zaman bunu sonra yapmalıyız
ham,"I've got ten bucks, jay is being noncomittal",0,"On dolarım var, Jay tarafsız davranıyor",on dolarım jay tarafsız davranıyor
ham,Where at were hungry too,0,Nerede de acıktık,nerede acıktık
ham,Pls speak to that customer machan.,0,Lütfen o müşteri Machan'la konuşun.,lütfen müşteri machan la konuşun
ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,0,orada bir yerlerde soluk ay ışığının altında birisi seni düşünüyor hayallerin gerçekleştiği bir yerde... iyi geceler &amp; tatlı rüyalar,orada yerlerde soluk ay ışığının altında birisi seni düşünüyor hayallerin gerçekleştiği yerde iyi geceler amp tatlı rüyalar
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",0,"Eğer sevimli kız sana kızarsa, bunu ciddiye alma.. Çünkü kızmak derin şefkat göstermenin en çocukça ve gerçek yoludur, dikkat et aşkım!.. kettoda manda... İyi günler da.",eğer sevimli kız sana kızarsa bunu ciddiye alma çünkü kızmak derin şefkat göstermenin çocukça gerçek yoludur dikkat et aşkım kettoda manda i yi günler
spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs,1,"Sevgili U, XCHAT'e davet edildiniz. Bu, sizinle iletişime geçmek için son girişimimiz! CHAT'i 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN'ye gönderin 18 yıl",sevgili u xchat e davet edildiniz sizinle iletişime geçmek son girişimimiz chat i SAYI SAYI p msgrcvdhg suite SAYI SAYI lands row w SAYI j SAYI hl ldn ye gönderin SAYI yıl
ham,So wats ur opinion abt him and how abt is character?,0,Peki onun hakkında ne düşünüyorsun ve karakteri ne kadar?,peki onun hakkında düşünüyorsun karakteri
ham,Jay is snickering and tells me that x is totally fucking up the chords as we speak,0,Jay kıs kıs gülüyor ve biz konuşurken x'in akorları tamamen berbat ettiğini söylüyor,jay kıs kıs gülüyor konuşurken x in akorları tamamen berbat ettiğini söylüyor
ham,No..few hours before.went to hair cut .,0,Hayır..birkaç saat önce.saç kesmeye gittim.,hayır birkaç saat önce saç kesmeye gittim
ham,No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...,0,Şaşılacak bir şey yok... Çünkü gümüş bir araba gördüğümü hatırlamıyorum... Ama sanırım siyah bir tane gördüm...,şaşılacak şey çünkü gümüş araba gördüğümü hatırlamıyorum sanırım siyah tane gördüm
ham,Lmao. Take a pic and send it to me.,0,Lmao. Bir fotoğraf çek ve bana gönder.,lmao fotoğraf çek bana gönder
ham,Speak only when you feel your words are better than the silence... Gud mrng:-),0,Yalnızca sözlerinizin sessizlikten daha iyi olduğunu hissettiğinizde konuşun... Tanrım mrng :-),yalnızca sözlerinizin sessizlikten iyi olduğunu hissettiğinizde konuşun tanrım mrng
ham,No. She's currently in scotland for that.,0,Hayır. Şu anda bunun için İskoçya'da.,hayır şu anda bunun i skoçya
ham,Do you work all this week ?,0,Bütün hafta boyunca çalıştın mı?,hafta boyunca çalıştın
spam,Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16,1,"Tebrikler, 500 £'luk CD hediye çeki ve Ücretsiz giriş 2 kazandınız, 100 £'luk haftalık çekilişimiz 87066 TnC'ye txt MÜZİK www.Ldew.com 1 win150ppmx3age16",tebrikler SAYI luk cd hediye çeki ücretsiz giriş SAYI kazandınız SAYI luk haftalık çekilişimiz SAYI tnc ye txt müzi k URL SAYI win SAYI ppmx SAYI age SAYI
ham,Lol great now im getting hungry.,0,Hahaha harika şimdi acıkmaya başladım.,hahaha harika şimdi acıkmaya başladım
ham,Yes.. now only saw your message..,0,Evet.. şimdi mesajınızı yeni gördüm..,evet şimdi mesajınızı yeni gördüm
ham,I'll be at mu in like  &lt;#&gt;  seconds,0,&lt;#&gt;  saniye,lt gt saniye
ham,Ok...,0,Tamam...,tamam
ham,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x,0,ŞEY İYİ ŞEY MART AYINDA SINAVLARIM VAR REVİZYON YAPMADIM MI? FRAN HALA BOYF'LA MI? 4 EXETER'LA RÖPORTAJ YAPMALIYIM BİTİR ENDİŞELİYİM!x,şey i yi şey mart ayinda sinavlarim revi zyon yapmadim fran hala boyf la SAYI exeter la röportaj yapmaliyim bi ti r endi şeli yi m x
ham,"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who ""smokes too much"" for the entire month of february, I'll come up",0,"Bak ne diyeceğim, eğer küçük bir tablo hazırlarsan ve şubat ayı boyunca kimin ""çok fazla sigara içtiğini"" belirlemek için sigara içmenin kimin fikri olduğunu takip edersen, ben de ortaya çıkarım.",bak diyeceğim eğer küçük tablo hazırlarsan şubat ayı boyunca kimin fazla sigara içtiğini belirlemek sigara içmenin kimin fikri olduğunu takip edersen ortaya çıkarım
spam,For sale - arsenal dartboard. Good condition but no doubles or trebles!,1,Satılık - arsenal dart tahtası. İyi durumda ama çift veya üçlü yok!,satılık arsenal dart tahtası i yi durumda çift üçlü
ham,Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!,0,Binaya arkanıza bakmayın çünkü paltonuz yok ve daha fazla hastalanmanızı istemiyorum. Acele edip eve gidin ve spor salonuna bir ceket giyin!!!,binaya arkanıza bakmayın çünkü paltonuz fazla hastalanmanızı istemiyorum acele edip eve gidin spor salonuna ceket giyin
ham,"My painful personal thought- ""I always try to keep everybody happy all the time. But nobody recognises me when i am alone""",0,"Acı veren kişisel düşüncem: ""Her zaman herkesi mutlu etmeye çalışıyorum. Ama yalnız olduğumda kimse beni tanımıyor""",acı veren kişisel düşüncem zaman herkesi mutlu etmeye çalışıyorum yalnız olduğumda kimse beni tanımıyor
ham,Thanks for ve lovely wisheds. You rock,0,Güzel dilekleriniz için teşekkürler. Sen harikasın,güzel dilekleriniz teşekkürler harikasın
ham,You intrepid duo you! Have a great time and see you both soon. ,0,"Sizi cesur ikiliniz! İyi eğlenceler, ikinizle de yakında görüşürüz.",sizi cesur ikiliniz i yi eğlenceler ikinizle yakında görüşürüz
ham,I asked sen to come chennai and search for job.,0,Sen'den Chennai'ye gelip iş aramasını istedim.,den chennai ye gelip iş aramasını istedim
ham,Dad went out oredi... ,0,Babam dışarı çıktı...,babam dışarı çıktı
ham,"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet.",0,Umarım beni özlediğin doğrudur çünkü onu gerçekten özlüyorum! Henüz kendini suçlu hissedecek bir şey yapmadın.,umarım beni özlediğin doğrudur çünkü onu gerçekten özlüyorum henüz kendini suçlu hissedecek şey yapmadın
ham,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...,0,"Çok geç, hâlâ erken mah. Veya 4 akşam yemeğine gideriz lor. Ayy bilmiyorum...",geç hâlâ erken mah SAYI akşam yemeğine gideriz lor ayy bilmiyorum
ham,"Arms fine, how's Cardiff and uni? ",0,"Silahlar iyi, Cardiff ve üniversite nasıl?",silahlar iyi cardiff üniversite nasıl
ham,In fact when do you leave? I think addie goes back to school tues or wed,0,Aslında ne zaman gidiyorsun? Addie'nin salı ya da evlenmeden okula döneceğini düşünüyorum,aslında zaman gidiyorsun addie nin salı evlenmeden okula döneceğini düşünüyorum
ham,"Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: ""GOODMORNING &amp; HAVE A NICE DAY"" :)",0,"Serin bir esinti... Parlak güneş... Taze çiçekler... Cıvıldayan kuşlar... Bütün bunlar size dilemek için bekliyor: ""Günaydın ve güzel bir gün geçirmeniz dileğiyle"" :)",serin esinti parlak güneş taze çiçekler cıvıldayan kuşlar bunlar size dilemek bekliyor günaydın güzel gün geçirmeniz dileğiyle
ham,Ya:)going for restaurant..,0,Evet :) restorana gidiyorum..,evet restorana gidiyorum
ham,"Its ok., i just askd did u knw tht no?",0,"Sorun değil, sadece hayır olduğunu biliyor muydun diye sordum?",sorun değil sadece hayır olduğunu biliyor muydun sordum
spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,1,1. haftaya ücretsiz giriş 2 TEXTPOD 4 şans 2 40 GB iPod veya her hafta 250 £ nakit kazanma. POD'dan 84128 Şartlar ve Koşullara gönderin www.textpod.net custcare 08712405020.,SAYI haftaya ücretsiz giriş SAYI textpod SAYI şans SAYI SAYI gb ipod hafta SAYI nakit kazanma pod dan SAYI şartlar koşullara gönderin URL custcare SAYI
ham,Those ducking chinchillas,0,O eğilen çinçillalar,eğilen çinçillalar
ham,I am in a marriage function,0,Ben bir evlilik fonksiyonundeyim,evlilik fonksiyonundeyim
ham,Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.,0,Görünüşe göre saat 2.30 gibi buradan ayrılarak avantajlı bir başlangıç ​​yapacaksın ama eğer arkadaşlığım için çaresizsen daha erken gidebilirim - tam da bu sırada buluşacaktık.,görünüşe göre saat SAYI SAYI buradan ayrılarak avantajlı başlangıç yapacaksın eğer arkadaşlığım çaresizsen erken gidebilirim tam sırada buluşacaktık
ham,Don‘t give a flying monkeys wot they think and I certainly don‘t mind. Any friend of mine and all that!,0,Uçan maymunların ne düşündüğü umrumda değil ve kesinlikle umurumda değil. Herhangi bir arkadaşım falan!,uçan maymunların düşündüğü umrumda değil kesinlikle umurumda değil herhangi arkadaşım falan
spam,As a registered optin subscriber ur draw 4 £100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts,1,"Kayıtlı bir optin abonesi olarak, çekilişinize 4 £ 100 hediye çeki, BBC listelerinde 80062 No1 No'ya doğru cevabın alınması üzerine girilecektir.",kayıtlı optin abonesi çekilişinize SAYI SAYI hediye çeki bbc listelerinde SAYI no SAYI no doğru cevabın alınması üzerine girilecektir
ham,say thanks2. ,0,teşekkür et2.,teşekkür et SAYI
ham,Msg me when rajini comes.,0,Rajini geldiğinde bana mesaj at.,rajini geldiğinde bana mesaj at
ham,Ya! when are ü taking ure practical lessons? I start in june..  ,0,Evet! pratik dersleri ne zaman alıyorsun? haziranda başlıyorum..,evet pratik dersleri zaman alıyorsun haziranda başlıyorum
ham,"That's good, because I need drugs",0,Bu iyi çünkü uyuşturucuya ihtiyacım var,iyi çünkü uyuşturucuya ihtiyacım
ham,Stupid.its not possible,0,Aptal. bu mümkün değil,aptal mümkün değil
ham,Can ü all decide faster cos my sis going home liao..,0,Hepiniz daha hızlı karar verebilir misiniz çünkü kız kardeşim eve gidiyor liao..,hepiniz hızlı karar verebilir misiniz çünkü kız kardeşim eve gidiyor liao
spam,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804,1,Summers sonunda burada! Bulunduğunuz bölgedeki seksi bekarlarla sohbet etmek veya flört etmek ister misiniz? EŞLEŞTİRİLMEK için şimdi SUMMER'ı yanıtlamanız yeterli. Ücretsiz 2 Katılın. OptOut txt DUR Yardım08714742804,summers sonunda burada bulunduğunuz bölgedeki seksi bekarlarla sohbet etmek flört etmek ister misiniz eşleşti ri lmek şimdi summer ı yanıtlamanız yeterli ücretsiz SAYI katılın optout txt dur yardım SAYI
ham,U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..,0,Şimdi uyuyor musun.. Yoksa alacak mısın? Haha.. Casuslarım var.. Çevrimiçi olarak e-postaları kontrol ediyorum ve yanıtlıyorum lor..,şimdi uyuyor musun yoksa alacak mısın haha casuslarım çevrimiçi e postaları kontrol ediyorum yanıtlıyorum lor
spam,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Calls£1/minmoremobsEMSPOBox45PO139WA,1,CLAIRE burada sıkıcı vakit geçiriyorum ve şimdi yalnızım. Bir gecede boşalmak ister misin? Şimdi sohbet et 09099725823 umut 2 C U Luv CLAIRE xx Aramalar£1/minmoremobsEMSPOBox45PO139WA,claire burada sıkıcı vakit geçiriyorum şimdi yalnızım gecede boşalmak ister misin şimdi sohbet et SAYI umut SAYI c u luv claire xx aramalar SAYI minmoremobsemspobox SAYI po SAYI wa
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",0,"Dünyayla savaşmak kolaydır, ya kazanırsınız ya da kaybedersiniz, ancak size yakın olan biriyle savaşmak zordur, eğer kaybederseniz - kazanırsanız kaybedersiniz - yine de kaybedersiniz.",dünyayla savaşmak kolaydır kazanırsınız kaybedersiniz ancak size yakın biriyle savaşmak zordur eğer kaybederseniz kazanırsanız kaybedersiniz yine kaybedersiniz
spam,Bought one ringtone and now getting texts costing 3 pound offering more tones etc,1,Bir zil sesi satın aldım ve şimdi daha fazla ton vb. sunan 3 poundluk mesajlar alıyorum,zil sesi satın aldım şimdi fazla ton vb sunan SAYI poundluk mesajlar alıyorum
ham,"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D",0,"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (evlilik)program edhae, yani lyf henüz başlamadı chikku..ali vargu lyfu miyav miyav:-D",yalru lyfu astne chikku bt innu mundhe lyf ali halla ke bilo evlilik program edhae yani lyf henüz başlamadı chikku ali vargu lyfu miyav miyav d
ham,Kinda. First one gets in at twelve! Aah. Speak tomo,0,Gibi. İlki saat on ikide girecek! Aah. Tomo'yla konuş,i lki saat on ikide girecek aah tomo yla konuş
